No.,Pos.,Player,Date of birth (age),Caps,Club,Country
7,MF,Peter Cargill,2 March 1964 (aged 34),76,Harbour View,Jamaica
8,FW,Marcus Gayle,27 September 1970 (aged 27),5,Wimbledon,Jamaica
9,FW,Andy Williams,23 September 1977 (aged 20),25,Columbus Crew,Jamaica
10,FW,Walter Boyd,1 January 1972 (aged 26),57,Arnett Gardens,Jamaica
11,MF,Theodore Whitmore,5 August 1972 (aged 25),76,Seba United,Jamaica
12,DF,Dean Sewell,13 April 1972 (aged 26),4,Constant Spring,Jamaica
13,GK,Aaron Lawrence,11 August 1970 (aged 27),17,Reno,Jamaica
14,GK,Donovan Ricketts,7 June 1977 (aged 21),0,Wadadah,Jamaica
15,DF,Ricardo Gardner,25 September 1978 (aged 19),34,Harbour View,Jamaica
16,MF,Robbie Earle,27 January 1965 (aged 33),8,Wimbledon,Jamaica
17,FW,Onandi Lowe,2 December 1973 (aged 24),30,Harbour View,Jamaica
18,FW,Deon Burton,25 October 1976 (aged 21),18,Derby County,Jamaica
19,DF,Frank Sinclair,3 December 1971 (aged 26),5,Chelsea,Jamaica
20,MF,Darryl Powell,15 November 1971 (aged 26),2,Derby County,Jamaica
21,DF,Durrant Brown,8 July 1964 (aged 33),125,Wadadah,Jamaica
22,FW,Paul Hall,3 July 1972 (aged 25),23,Portsmouth,Jamaica
1,GK,Nobuyuki Kojima,17 January 1966 (aged 32),5,Bellmare Hiratsuka,Japan
2,DF,Akira Narahashi,26 November 1971 (aged 26),29,Kashima Antlers,Japan
3,DF,Naoki Soma,19 July 1971 (aged 26),50,Kashima Antlers,Japan
4,DF,Masami Ihara (captain),18 September 1967 (aged 30),116,Yokohama Marinos,Japan
5,DF,Norio Omura,6 September 1969 (aged 28),31,Yokohama Marinos,Japan
6,MF,Motohiro Yamaguchi,29 January 1969 (aged 29),56,Yokohama Flügels,Japan
7,MF,Teruyoshi Ito,31 August 1974 (aged 23),2,Shimizu S-Pulse,Japan
8,MF,Hidetoshi Nakata,22 January 1977 (aged 21),21,Bellmare Hiratsuka,Japan
9,FW,Masashi Nakayama,23 September 1967 (aged 30),27,Júbilo Iwata,Japan
10,MF,Hiroshi Nanami,28 November 1972 (aged 25),44,Júbilo Iwata,Japan
11,MF,Shinji Ono,27 September 1979 (aged 18),2,Urawa Red Diamonds,Japan
12,FW,Wagner Lopes,29 January 1969 (aged 29),10,Bellmare Hiratsuka,Japan
13,MF,Toshihiro Hattori,23 September 1973 (aged 24),6,Júbilo Iwata,Japan
14,FW,Masayuki Okano,25 July 1972 (aged 25),25,Urawa Red Diamonds,Japan
15,MF,Hiroaki Morishima,30 April 1972 (aged 26),36,Cerezo Osaka,Japan
16,DF,Toshihide Saito,20 April 1973 (aged 25),14,Shimizu S-Pulse,Japan
17,DF,Yutaka Akita,6 August 1970 (aged 27),27,Kashima Antlers,Japan
18,FW,Shoji Jo,17 June 1975 (aged 22),24,Yokohama Marinos,Japan
19,DF,Eisuke Nakanishi,23 June 1973 (aged 24),7,JEF United Ichihara,Japan
20,GK,Yoshikatsu Kawaguchi,15 August 1975 (aged 22),27,Yokohama Marinos,Japan
21,GK,Seigo Narazaki,15 April 1976 (aged 22),2,Yokohama Flügels,Japan
22,MF,Takashi Hirano,15 July 1974 (aged 23),10,Nagoya Grampus Eight,Japan
